year_month,adviser_band,revenue_target
2025-01,A,20000
2025-01,B,15000
2025-01,C,10000
2025-02,A,20000
2025-02,B,15000
2025-02,C,10000
2025-03,A,20000
2025-03,B,15000
2025-03,C,10000
2025-04,A,20000
2025-04,B,15000
2025-04,C,10000
2025-05,A,20000
2025-05,B,15000
2025-05,C,10000
2025-06,A,20000
2025-06,B,15000
2025-06,C,10000
2025-07,A,20000
2025-07,B,15000
2025-07,C,10000
2025-08,A,20000
2025-08,B,15000
2025-08,C,10000
2025-09,A,20000
2025-09,B,15000
2025-09,C,10000
2025-10,A,20000
2025-10,B,15000
2025-10,C,10000
2025-11,A,20000
2025-11,B,15000
2025-11,C,10000
2025-12,A,20000
2025-12,B,15000
2025-12,C,10000
