txn_id,client_id,adviser_id,product_id,txn_date,gross_amount,fee_amount,currency,is_refund
T0000001,C00003,ADV049,PRD0028,04/11/2025,3518.42,41.84,GBP,N
T0000002,C00200,ADV023,PRD0018,17/10/2025,1948.1,38.37,GBP,N
T0000003,C00477,ADV028,PRD0012,2024-05-14,797.87,21.66,GBP,N
T0000004,C00102,ADV033,PRD0030,21/01/2024,1028.46,13.5,GBP,N
T0000005,C00072,ADV047,PRD0030,2024-06-13,6378.14,48.53,GBP,N
T0000006,C00252,ADV051,PRD0018,2025-05-21,1064.16,17.99,GBP,N
T0000007,C00435,ADV031,PRD0032,2024-06-13,590.6,6.62,GBP,N
T0000008,C00189,ADV041,PRD0013,07/01/2024,3771.16,80.35,GBP,N
T0000009,C00234,ADV011,PRD0011,2025-07-09,3396.5,23.87,GBP,N
T0000010,C00292,ADV039,PRD0002,2024-09-22,16307.41,224.5,GBP,N
T0000011,C00353,ADV019,PRD0040,2025-01-09,1003.53,26.62,GBP,N
T0000012,C00115,ADV037,PRD0003,2025-01-26,9052.77,187.0,GBP,N
T0000013,C00282,ADV029,PRD0016,2024-07-29,461.51,4.11,GBP,N
T0000014,C00170,ADV049,PRD0039,2025-05-10,11363.86,181.46,GBP,N
T0000015,C00213,ADV012,PRD0028,2024-01-03,4683.4,98.57,GBP,N
T0000016,C00443,ADV057,,2024-09-23,1570.45,41.72,GBP,N
T0000017,C00308,ADV037,PRD0013,2025-12-03,10884.38,104.72,GBP,N
T0000018,C00262,ADV035,PRD0035,2024-09-06,4234.92,87.13,GBP,N
T0000019,C00439,ADV040,PRD0031,28/11/2024,6198.5,61.5,GBP,N
T0000020,C00381,ADV025,PRD0029,18/05/2024,3781.8,12.88,GBP,N
T0000021,C00256,ADV016,PRD0020,28/02/2025,10094.76,295.18,GBP,N
T0000022,C00420,ADV051,PRD0002,26/09/2024,-6558.74,-165.54,GBP,Y
T0000023,C00080,ADV060,PRD0025,03/01/2025,1568.02,40.56,GBP,N
T0000024,C00297,ADV055,PRD0031,30/11/2024,1676.05,47.13,GBP,N
T0000025,C00261,ADV001,PRD0025,2024-11-27,1730.45,28.94,GBP,N
T0000026,C00412,ADV039,PRD0027,2024-05-30,7354.42,237.1,GBP,N
T0000027,C00009,ADV012,PRD0018,2024-01-20,6312.71,175.68,GBP,N
T0000028,C00066,ADV030,PRD0019,01/06/2025,4708.92,57.09,GBP,N
T0000029,C00021,ADV032,PRD0001,12/11/2024,2992.6,45.07,GBP,N
T0000030,C00259,ADV011,PRD0007,2025-08-31,2187.97,7.1,GBP,N
T0000031,C00175,ADV003,PRD0005,2025-05-19,4985.71,9.97,GBP,N
T0000032,C00492,ADV056,PRD0025,09/11/2025,7666.02,198.18,GBP,N
T0000033,C00078,ADV025,PRD0004,03/01/2024,7296.28,182.06,GBP,N
T0000034,C00265,ADV055,PRD0032,2025-10-27,15633.0,172.59,GBP,N
T0000035,C00406,ADV043,PRD0016,26/08/2024,17057.73,433.17,GBP,N
T0000036,C00140,ADV040,PRD0007,23/03/2024,2656.75,50.48,GBP,N
T0000037,C00065,ADV032,PRD0007,2025-04-28,35022.57,166.4,GBP,N
T0000038,C00011,ADV004,PRD0005,2025-04-13,14053.96,351.52,GBP,N
T0000039,C00362,ADV009,PRD0007,03/11/2025,4821.16,117.15,GBP,N
T0000040,C00121,ADV008,PRD0006,29/07/2024,5127.79,127.24,GBP,N
T0000041,C00370,ADV024,PRD0031,2025-05-10,6025.1,71.89,GBP,N
T0000042,C00418,ADV028,PRD0029,2024-05-19,2332.0,11.86,GBP,N
T0000043,C00284,ADV003,PRD0020,2024-05-05,2034.25,46.97,GBP,N
